nacionalidade;dias_descanso_media;jogos_fase_grupos;altitude_media
Portugal;5.0;3;12
RD Congo;5.0;3;12
Uzbequistão;5.0;3;12
Colômbia;5.0;3;1
México;5.5;3;2240
USA;5.0;3;4
Brasil;5.2;3;12
Alemanha;5.0;3;12
França;5.0;3;65
Argentina;5.0;3;265
Inglaterra;5.0;3;130
